date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:41	79/79	---MC-	200	added ('OK')	text/plain	date:Tue,%2017%20Feb%202026%2015:35:40%20GMT	https://linergroup.tech/robots.txt		(from )
16:35:41	50342/50342	---M-Z	200	added ('OK')	text/html	etag:%22c4a6-649614be565ad-gzip%22	https://linergroup.tech/milena/	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/index.html	(from )
16:35:48	232948/232948	---M-Z	200	added ('OK')	text/css	etag:W/%2238df4-HxOZgbm0enZu+gphu3ito1HxbEs%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	C:/Mes%20Sites%20Web/IUP%20MILENA/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	(from https://linergroup.tech/milena/)
16:35:49	98255/98255	---M-Z	200	added ('OK')	text/css	etag:W/%2217fcf-G+wTgIPTsn/2h6nUG4C3l88gtwk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css	C:/Mes%20Sites%20Web/IUP%20MILENA/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css	(from https://linergroup.tech/milena/)
16:35:49	1528/1528	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Feb%202026%2015:35:49%20GMT	https://linergroup.tech/milena/assets/css/animations.css	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/css/animations.css	(from https://linergroup.tech/milena/)
16:35:50	50342/50342	---M-Z	200	added ('OK')	text/html	etag:%22c4a6-649614be565ad-gzip%22	https://linergroup.tech/milena/index.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/index-2.html	(from https://linergroup.tech/milena/)
16:35:50	48816/48816	---M-Z	200	added ('OK')	text/html	etag:%22beb0-649615011cea7-gzip%22	https://linergroup.tech/milena/apropos.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/apropos.html	(from https://linergroup.tech/milena/)
16:35:50	175926/175926	---M--	200	added ('OK')	image/png	etag:%222af36-64961481ac3b0%22	https://linergroup.tech/milena/assets/img/logo-iUP-MILENA.png	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/logo-iUP-MILENA.png	(from https://linergroup.tech/milena/)
16:35:50	19722/19722	---M-Z	200	added ('OK')	text/html	etag:%224d0a-649615586f308-gzip%22	https://linergroup.tech/milena/formation1.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/formation1.html	(from https://linergroup.tech/milena/)
16:35:51	20032/20032	---M-Z	200	added ('OK')	text/html	etag:%224e40-649615e97d96b-gzip%22	https://linergroup.tech/milena/formation2.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/formation2.html	(from https://linergroup.tech/milena/)
16:35:51	19650/19650	---M-Z	200	added ('OK')	text/html	etag:%224cc2-649615e9b82e9-gzip%22	https://linergroup.tech/milena/formation3.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/formation3.html	(from https://linergroup.tech/milena/)
16:35:51	20035/20035	---M-Z	200	added ('OK')	text/html	etag:%224e43-649615ea5c3e2-gzip%22	https://linergroup.tech/milena/formation4.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/formation4.html	(from https://linergroup.tech/milena/)
16:35:52	19751/19751	---M-Z	200	added ('OK')	text/html	etag:%224d27-649615ea8b1e0-gzip%22	https://linergroup.tech/milena/formation5.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/formation5.html	(from https://linergroup.tech/milena/)
16:35:52	19567/19567	---M-Z	200	added ('OK')	text/html	etag:%224c6f-649615eb2e33a-gzip%22	https://linergroup.tech/milena/formation6.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/formation6.html	(from https://linergroup.tech/milena/)
16:35:52	19605/19605	---M-Z	200	added ('OK')	text/html	etag:%224c95-649615eb592b8-gzip%22	https://linergroup.tech/milena/formation7.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/formation7.html	(from https://linergroup.tech/milena/)
16:35:53	28693/28693	---M-Z	200	added ('OK')	text/html	etag:%227015-6496163397206-gzip%22	https://linergroup.tech/milena/actualites.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/actualites.html	(from https://linergroup.tech/milena/)
16:35:53	22303/22303	---M-Z	200	added ('OK')	text/html	etag:%22571f-6496167c38b0e-gzip%22	https://linergroup.tech/milena/vie-etudiant.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/vie-etudiant.html	(from https://linergroup.tech/milena/)
16:35:53	28702/28702	---M-Z	200	added ('OK')	text/html	etag:%22701e-649616334130a-gzip%22	https://linergroup.tech/milena/admission.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/admission.html	(from https://linergroup.tech/milena/)
16:35:54	21340/21340	---M-Z	200	added ('OK')	text/html	etag:%22535c-649616d0e24d3-gzip%22	https://linergroup.tech/milena/contacts.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/contacts.html	(from https://linergroup.tech/milena/)
16:35:54	18285/18285	---M--	200	added ('OK')	image/jpeg	etag:%22476d-6495fe9f49b4c%22	https://linergroup.tech/milena/assets/img/partner/linergroup.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/linergroup.jpg	(from https://linergroup.tech/milena/)
16:35:56	42090/42090	---M--	200	added ('OK')	image/jpeg	etag:%22a46a-6495fe9cb39a9%22	https://linergroup.tech/milena/assets/img/partner/ana.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/ana.jpg	(from https://linergroup.tech/milena/)
16:35:56	35000/35000	---M--	200	added ('OK')	image/jpeg	etag:%2288b8-6495fe9cb2a09%22	https://linergroup.tech/milena/assets/img/partner/aventis.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/aventis.jpg	(from https://linergroup.tech/milena/)
16:35:57	35584/35584	---M--	200	added ('OK')	image/jpeg	etag:%228b00-6495fe9d9a11f%22	https://linergroup.tech/milena/assets/img/partner/conceptis.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/conceptis.jpg	(from https://linergroup.tech/milena/)
16:35:57	104637/104637	---M--	200	added ('OK')	image/png	etag:%22198bd-6495fe9e75cb5%22	https://linergroup.tech/milena/assets/img/partner/ireti.png	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/ireti.png	(from https://linergroup.tech/milena/)
16:35:58	27731/27731	---M--	200	added ('OK')	image/jpeg	etag:%226c53-6495fe9f2b6ee%22	https://linergroup.tech/milena/assets/img/partner/itisa.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/itisa.jpg	(from https://linergroup.tech/milena/)
16:35:58	43050/43050	---M--	200	added ('OK')	image/png	etag:%22a82a-6495fea01ab03%22	https://linergroup.tech/milena/assets/img/partner/siliscon%20sarl.png	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/siliscon%20sarl.png	(from https://linergroup.tech/milena/)
16:35:58	29820/29820	---M--	200	added ('OK')	image/png	etag:%22747c-6495fe9e5c676%22	https://linergroup.tech/milena/assets/img/partner/irewa.png	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/irewa.png	(from https://linergroup.tech/milena/)
16:35:58	20646/20646	---M--	200	added ('OK')	image/png	etag:%2250a6-6495fe9d7cc60%22	https://linergroup.tech/milena/assets/img/partner/compassion.png	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/compassion.png	(from https://linergroup.tech/milena/)
16:35:59	53176/53176	---M--	200	added ('OK')	image/png	etag:%22cfb8-6495fea005344%22	https://linergroup.tech/milena/assets/img/partner/pisen.png	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/partner/pisen.png	(from https://linergroup.tech/milena/)
16:35:59	80663/80663	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b17-9/0PPchLLPk7+B6DJQWmc/NU4KM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	C:/Mes%20Sites%20Web/IUP%20MILENA/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	(from https://linergroup.tech/milena/)
16:36:00	130608/130608	---M--	200	added ('OK')	font/woff2	etag:W/%221fe30-0zcUywg26p6+AvTMwigGWTkDFno%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-icons.woff2?2820a3852bdb9a5832199cc61cec4e65	C:/Mes%20Sites%20Web/IUP%20MILENA/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-iconsafdf.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
16:36:01	176200/176200	---M--	200	added ('OK')	font/woff	etag:W/%222b048-zOJU1Q0vdEzY84TNSqKiPIhQ4u4%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-icons.woff?2820a3852bdb9a5832199cc61cec4e65	C:/Mes%20Sites%20Web/IUP%20MILENA/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-iconsafdf.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
16:36:01	23377/23377	---M-Z	200	added ('OK')	text/css	etag:%225b51-6495fe9349790-gzip%22	https://linergroup.tech/milena/assets/css/style.css	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/css/style.css	(from https://linergroup.tech/milena/apropos.html)
16:36:02	167499/167499	---M--	200	added ('OK')	image/jpeg	etag:%2228e4b-6495fe9a6aa62%22	https://linergroup.tech/milena/assets/img/tech.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/tech.jpg	(from https://linergroup.tech/milena/formation1.html)
16:36:03	43196/43196	---M--	200	added ('OK')	image/webp	etag:%22a8bc-6495fe95a5f56%22	https://linergroup.tech/milena/assets/img/agro.webp	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/agro.webp	(from https://linergroup.tech/milena/formation4.html)
16:36:04	131847/131847	---M--	200	added ('OK')	image/jpeg	etag:%2220307-6495fe980947c%22	https://linergroup.tech/milena/assets/img/btp.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/btp.jpg	(from https://linergroup.tech/milena/formation3.html)
16:36:04	104719/104719	---M--	200	added ('OK')	image/jpeg	etag:%221990f-6495fe9b0fafb%22	https://linergroup.tech/milena/assets/img/tranp.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/tranp.jpg	(from https://linergroup.tech/milena/formation5.html)
16:36:05	60988/60988	---M--	200	added ('OK')	image/webp	etag:%22ee3c-6495fe98e5fb2%22	https://linergroup.tech/milena/assets/img/hote.webp	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/hote.webp	(from https://linergroup.tech/milena/formation7.html)
16:36:05	29423/29423	---M-Z	200	added ('OK')	text/html	etag:%2272ef-6496167bfe190-gzip%22	https://linergroup.tech/milena/lireplus.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/lireplus.html	(from https://linergroup.tech/milena/actualites.html)
16:36:06	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
16:36:06	285029/285029	---M--	200	added ('OK')	image/jpeg	etag:%2245965-6495fe96ffa87%22	https://linergroup.tech/milena/assets/img/art.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/art.jpg	(from https://linergroup.tech/milena/formation6.html)
16:36:06	28354/28354	---M-Z	200	added ('OK')	text/html	etag:%226ec2-6495fe8cbdb58-gzip%22	https://linergroup.tech/milena/formations.html	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/formations.html	(from https://linergroup.tech/milena/lireplus.html)
16:36:17	6672322/6672322	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2265cfc2-6495fe97faa1d%22	https://linergroup.tech/milena/assets/img/Acceuil.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/Acceuil.jpg	(from https://linergroup.tech/milena/)
16:36:18	1739031/1739031	---M--	200	added ('OK')	image/jpeg	etag:%221a8917-6495fe9a15b05%22	https://linergroup.tech/milena/assets/img/green.jpg	C:/Mes%20Sites%20Web/IUP%20MILENA/linergroup.tech/milena/assets/img/green.jpg	(from https://linergroup.tech/milena/formation2.html)
